SPERATTI,['1741']
VILLARS,['1731']
BARRIO PEDRO ROCCO,['7109']
FARO SAN ANTONIO,['7103']
GENERAL LAVALLE,['7103']
LA MASCOTA,"['7119', '7225', '8132']"
LA TABLADA,"['1751', '1766', '7163']"
LA VICTORIA,"['7109', '7225']"
SALADA CHICA,['7163']
SALADA GRANDE,['7163']
SAN JOSE DE LOS QUINTEROS,['7109']
SANTA TERESA,"['2912', '7163']"
VILLA CLELIA,['7109']
CAMINERA GENERAL LOPEZ,['2720']
LOS ARCOS,['2720']
CLAVERIE,['7163']
EL CHAJA,['7163']
ESPADAÑA,['7163']
FARO QUERANDI,['7165']
GENERAL MADARIAGA,['7163']
GOBOS,['7163']
GOÑI,['7163']
GOROSO,['7163']
HINOJALES,['7163']
INVERNADAS,['7163']
ISONDU,['7163']
JUANCHO,['7169']
LA ESPERANZA GRAL MADARIAGA,['7163']
MACEDO,['7163']
MEDALAND,['7163']
PASOS,['7163']
SPERONI,['7163']
TIO DOMINGO,['7163']
ALEGRE,['1987']
CANCHA DEL POLLO,['1987']
CUARTEL 2,['1987']
DANTAS,['1987']
ESTANCIA VIEJA,['7225']
KILOMETRO 70,['1981']
LOS MERINOS,['1980']
RANCHOS,['1987']
RINCON DE VIVOT,['7225']
VILLANUEVA,['7225']
CORONEL GRANADA,['6062']
CUARTEL VII,['6050']
DOS HERMANOS,['6042']
DUSSAUD,['6050']
EL PEREGRINO,['6053']
GENERAL PINTO,['6050']
GERMANIA,['6053']
GUNTHER,['6053']
HALCEY,['6064']
HARAS EL CATORCE,['6050']
INGENIERO BALBIN,['6051']
IRIARTE,['6042']
LA SUIZA,['6050']
LOS CALLEJONES,['6062']
MAYOR JOSE ORELLANO,['6053']
PAZOS KANKI,['6058']
SOLALE,['6064']
VILLA FRANCIA,"['6058', '6706']"
VOLTA,['6064']
BARRIO BATAN,['7601']
BARRIO CHAPADMALAL,['7616']
BARRIO EMIR RAMON JUAREZ,['7600']
BARRIO GASTRONOMICO,['7600']
BARRIO PUEBLO NUEVO,['7600']
BARRIO TIERRA DE ORO,['7600']
BARRIO TIRO FEDERAL,['7600']
CAMET,['7612']
COLONIA DE VAC CHAPADMALAL,['7618']
EL SOLDADO,['7600']
HARAS CHAPADMALAL,['7605']
LA PEREGRINA,['7601']
LAGUNA DE LOS PADRES,['7601']
LAGUNA DEL SOLDADO,['7600']
